// Copyright (c) 2005-2007, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.

// ask server to send us localized messages
xmlLang	uk
//463
langfile	Ukraine
Jid	Jid
Loading	Завантаження
Privacy Lists	Списки приватностi
Existing groups	Наявнi групи
Message font	Шрифт повiдомлення
Roster font	Шрифт ростеру
Paste Body	Встав. тiло повiдомлення
Configure Room	Конфiгуратор кiмнати
Paste Subject	Встав. тему повiдомлення
Service Discovery	Огляд сервiсiв
User JID	JID користувача
New list	Новий список
Select (no login)	Вибрати (без пiдключення)
Privacy rule	Правило приватностi
use SSL	використовувати SSL
Modify	Змiнити
Update	Обновити
Account name	Iм"я аккаунту
GMT offset	Часовий пояс (GMT+)
Time settings (hours)	Налаштування часу
Connected	З " Є Д Н А Н О
Connect to 	З"єднання iз 
Alert Profile	Сигнали
Move Up	Змiстити нагору
Move Down	Змiстити вниз
Owners	Власники
Ok	ОК
Minimize	Згорнути
Room	Кiмната
Messages	Повiдомлення
Refresh	Оновити
Resolve Nicknames	Перетворити в НIК
Action	Дiя
Ban	Бан (ban)
Leave Room	Покинути кiмнату
Password	Пароль
Actions >	Дiї >
Activate	Активувати
Affiliation	Членство
Accounts	Аккаунти
Delete list	Видалити список
Account >	Аккаунт >
Show Offlines	Показати вiдключених
Select	Вибрати
Subject	Тема
Group menu	Меню групп
Quit	Вихiд
Add to roster	Додати в ростер
Edit list	Редагувати список
Registering	Реєстрацiя
Done	Виконано
Error: 	Помилка: 
Browse	Огляд
Save list	Зберегти список
Keep-Alive period	Перiод Keep-Alive
<New Group>	<Нова група>
Send	Вiдправити
Priority	Прiоритет
Failed	Помилка з"єднання
Set Priority	Встановити прiоритет
Delete rule	Видалити правило
Roster request	Отримання ростеру
Type	Тип
Name	Iм"я
Username	I"мя користувача 
Fullscreen	повноекранний
All Priorities	До всiх статусiв
Add bookmark	Дод. закладку
conferences only	тiльки конференцiї
Client Version	Версiя клiенту
Discard Search	Скинути результати
Search Results	Результати пошуку
Members	Члени
// offline	Вiдключеннi
Add Contact	Новий контакт
Subscription	Пiдписка
Status >	Статус >
Join	Приєднатися
Startup actions	Дiї пiд час запуску
Server	Сервер
Admins	Адмiнiстратори
Make Ignore-List	Створити Ignore-List
Options	Налаштування
