// Copyright (c) 2005-2006, Eugene Stahov (evgs), http://bombus.jrudevels.org
// All rights reserved.
// (c) Alexey V.Lubimov <avl@l14.ru>, 2006.
// (c) Vladimir N. Shelukhin, 2006.

// ask server to send us localized messages
xmlLang	pl
//463
langfile	Polski
Loading	Ładowanie
Privacy Lists	Listy Prywatności
Existing groups	Istniejące grupy
Message font	Czcionka wiadomości
Roster font	Czcionka kontaktów
Paste Body	Wklej Tekst
Configure Room	Konfiguruj Pokój
Paste Subject	Wklej Temat
Service Discovery	Odkrywanie Usług
User JID	Jid użytkownika
New list	Nowa lista
Select (no login)	Wybierz (nie loguj)
Privacy rule	Zasada prywatności
use SSL	Szyfrowane połączenie
Modify	Modyfikuj
Update	Odśwież
Account name	Nazwa konta
GMT offset	Różnica w stosunku do (GMT+)
Time settings (hours)	Ustawienia zegara (godziny)
Connected	Połączony
Connect to 	Łączę z 
Alert Profile	Profil Dźwięku
Move Up	Przenieś w Górę
Move Down	Przenieś w Dół
Owners	Właściciele
Ok	Ok
Minimize	Minimalizuj
Room	Pokój
Messages	Wiadomośći
Refresh	Odśwież
Resolve Nicknames	Ustal Pseudonimy
Ban	Zablokuj (ban)
Leave Room	Opuść Pokój
Password	Hasło
Actions >	Opcje Kontaktu >
Activate	Aktywuj
Affiliation	Przynależność
Accounts	Konta
Delete list	Usuń listę
Account >	Konta >
Show Offlines	Pokaż Wylogowanych
Select	Wybierz
Subject	Temat
Group menu	Menu grup
Quit	Wyjdź
Edit list	Edytuj listę
Registering	Rejestruję
Done	Zakończono
Error: 	Błąd: 
Browse	Przeglądaj
Save list	Zapisz listę
Keep-Alive period	Keep-Alive
<New Group>	<Nowa Grupa>
Send	Wyślij
Priority	Priorytet
Failed	Nieudane
Set Priority	Zmień Priorytet
Delete rule	Usuń zasadę
Ignore-List	Lista Ignorowanych
Roster request	Pobieranie kontaktów
Name	Nazwa
Username	Nazwa Użytkownika
fullscreen	pełny ekran
All Priorities	Wszystkie Priorytety
Add bookmark	Dodaj zakładkę
conferences only	tylko konferencje
Client Version	Wersja Klienta
Discard Search	Odrzuć Wyszukiwanie
Search Results	Rezultaty Wyszukiwania
General	Generalna
Members	Członkowie
// offline	wylogowany
Add Contact	Dodaj Kontakt
Status >	Status >
Join	Wejdź
Startup actions	Akcje początkowe
Server	Serwer
Admins	Administratorzy
Make Ignore-List	Stwórz Listę Ignorowania
Options	Ustawienia
Delete	Usuń
Delete contact?	Usunąć kontakt?
Authorize	Autoryzacja
Nicknames	Uczestnicy
Entering setup	Włączam ustawienia
to Archive	do Archiwum
Back	Wróć
heap monitor	monitor pamięci
Hide Splash	Ukryj Logo
<Other>	<inna>
Append	Dokończ
history -	historia -
Active Contacts	Aktywne Kontakty
Select nickname	Wybierz nick
Join conference	Dołącz do konferencji
No	Nie
Yes	Tak
Re-Enter Room	Wejdź Ponownie
New Message	Nowa Wiadomość
Add	Dodaj
Logon	Zaloguj się
Logoff	Wyloguj się
Login in progress	Logowanie w trakcie
at Host	serwer
join conferences	tylko konferencje
Status	Status
Smiles	Emotki
Contact >	Kontakt >
Order	Zamów
offline contacts	wylogowane kontakty
Transport	Transport
composing events	wiadomość o komponowaniu
Add Smile	Dodaj Emotkę
Nickname	Nick
Revoke Voice	Odbierz Głos
Not-in-list	Nie z Listy
Commands	Komendy
- (Sign)	- (Znak)
Set default	Ustaw domyślnie
Outcasts (Ban)	Zablokowani
Set affiliation to	Zmień przynależność na
Hide Offlines	Ukryj Wylogowanych
Register Account	Rejestruj Konto
autologin	autologowanie
Logoff	Wyloguj się
